KOS Makarovo;КОС Макарово;c:\Отчетность по работе станций\КОС Макарово;..\reports\kos_makarovo;kos_makarovo;;;
\n№\n\n\n;\nДата/время\n\n\n;\nРасход на входе 1, м3\n\n;\nРасход на входе 2, м3\n\n;\nРасход на выходе, м3\n\n;;;
00000;0000.00.00  00:00;0000000000000.0;0000000000000.0;0000000000000.0;;;
1;2024.03.01;0.0;0.0;0.0;0.0;0.0;
2;2024.03.02;0.0;0.0;0.0;0.0;0.0;
3;2024.03.03;0.0;0.0;0.0;0.0;0.0;
4;2024.03.04;0.0;0.0;0.0;0.0;0.0;
5;2024.03.05;0.0;0.0;0.0;0.0;0.0;
6;2024.03.06;0.0;0.0;0.0;0.0;0.0;
7;2024.03.07;0.0;0.0;0.0;0.0;0.0;
8;2024.03.08;0.0;0.0;0.0;0.0;0.0;
9;2024.03.09;0.0;0.0;0.0;0.0;0.0;
10;2024.03.10;0.0;0.0;0.0;0.0;0.0;
11;2024.03.11;0.0;0.0;0.0;0.0;0.0;
12;2024.03.12;0.0;0.0;0.0;0.0;0.0;
13;2024.03.13;0.0;0.0;0.0;0.0;0.0;
14;2024.03.14;0.0;77.2;77.2;0.0;0.0;
15;2024.03.15;0.0;92.1;92.1;0.0;0.0;
16;2024.03.16;0.0;87.3;87.3;0.0;0.0;
17;2024.03.17;57.0;40.2;97.2;0.0;0.0;
18;2024.03.18;88.3;0.0;88.3;0.0;0.0;
19;2024.03.19;88.0;0.0;88.0;0.0;0.0;
20;2024.03.20;88.4;0.0;88.4;0.0;0.0;
21;2024.03.21;62.6;27.8;90.4;0.0;0.0;
22;2024.03.22;0.0;92.3;92.3;0.0;0.0;
23;2024.03.23;0.0;106.5;106.5;0.0;0.0;
24;2024.03.24;46.7;70.5;117.2;0.0;0.0;
25;2024.03.25;121.4;0.0;121.4;0.0;0.0;
26;2024.03.26;104.3;0.0;104.3;0.0;0.0;
27;2024.03.27;25.9;77.8;103.7;0.0;0.0;
28;2024.03.28;0.0;102.1;102.1;0.0;0.0;
29;2024.03.29;0.0;101.5;101.5;0.0;0.0;
30;2024.03.30;116.7;16.4;133.0;0.0;0.0;
31;2024.03.31;121.9;0.0;121.9;0.0;0.0;
