№;Дата/время;Расход на входе 1, м3;Расход на входе 2, м3;Расход на входе, м3;Расход на промыв., м3;Расход на выходе 1, м3;Расход на выходе 2, м3;Расход на выходе, м3;Расход энергии, КВтч;
1;01.10.2024;378.0;542.0;920.6;29.4;816.3;0.0;816.3;702.8;
2;02.10.2024;413.0;541.0;954.0;29.2;842.5;0.0;842.5;714.8;
3;03.10.2024;478.0;487.0;966.4;28.9;853.6;0.0;853.6;726.8;
4;04.10.2024;547.0;402.0;949.7;29.3;860.6;0.0;860.6;730.0;
5;05.10.2024;544.0;382.0;927.0;31.3;787.9;0.0;787.9;646.4;
6;06.10.2024;515.0;350.0;865.8;30.0;823.7;0.0;823.7;629.6;
7;07.10.2024;449.0;542.0;990.3;29.9;867.4;0.0;867.4;713.2;
8;08.10.2024;423.0;541.0;964.5;31.6;894.1;0.0;894.1;726.0;
9;09.10.2024;441.0;541.0;981.3;31.1;865.2;0.0;865.2;722.4;
10;10.10.2024;389.0;540.0;929.1;31.3;815.8;0.0;815.8;696.8;
11;11.10.2024;518.0;413.0;932.4;30.3;830.5;0.0;830.5;767.6;
12;12.10.2024;549.0;404.0;955.4;30.1;871.4;0.0;871.4;672.0;
13;13.10.2024;541.0;423.0;963.9;31.6;902.6;0.0;902.6;834.0;
14;14.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
15;15.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
16;16.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
17;17.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
18;18.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19;19.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20;20.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21;21.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22;22.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23;23.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24;24.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25;25.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
26;26.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
27;27.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
28;28.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
29;29.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
30;30.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
31;31.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
;За месяц:;6185.0;6108.0;12300.4;394.0;11031.6;0.0;11031.6;9282.4;
