VZU Teploe;ВЗУ Теплое;c:\Отчетность по работе станций\ВЗУ Теплое;..\reports\vzu_teploe;vzu_teploe;;;;;;
\n№\n\n\n;\nДата/время\n\n\n;\nРасход на входе 1, м3\n\n;\nРасход на входе 2, м3\n\n;\nРасход на выходе, м3\n\n;;;;;;
00000;0000.00.00  00:00;0000000000000.0;0000000000000.0;0000000000000.0;;;;;;
1;01.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2;02.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
3;03.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
4;04.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5;05.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
6;06.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
7;07.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8;08.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
9;09.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;10.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
11;11.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
12;12.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
13;13.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
14;14.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
15;15.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
16;16.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
17;17.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
18;18.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19;19.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20;20.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21;21.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22;22.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23;23.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24;24.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25;25.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
26;26.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
27;27.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
28;28.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
29;29.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
30;30.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
31;31.10.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
